rank,Name,RA_deg,Dec_deg,GLON_deg,GLAT_deg,dist_pc,dist_mod_mag,N_stars,r50_pc,r50_deg,area_sqdeg,logAge_yr,AV_mag,pmRA_masyr,pmDec_masyr,parallax_mas,rc_deg,rt_deg,all_names
237,Gulliver_9,127.203874,-47.924907,265.113815,-5.314,485.6,8.4316,444,4.567,0.53885,0.9122,7.006,0.208,-5.9314,6.9349,2.0001,0.423616,2.339855,"Gulliver_9,Theia_82"
238,Teutsch_35,294.084209,35.708285,69.532603,7.208,476.2,8.3887,337,4.476,0.53861,0.9114,8.1,0.138,-0.6296,-2.4773,2.0001,0.330427,2.859759,"ASCC_103,Teutsch_35,Teutsch_J1935.9+3540,Theia_457"
239,Theia_283,108.94287,-18.579694,232.194104,-3.204,987.7,9.973,116,9.233,0.53561,0.9012,8.269,0.206,-3.3676,3.9933,0.9484,1.100754,1.100754,"CWNU_8,Theia_283"
240,Theia_2267,111.033485,-26.461977,240.091484,-5.158,1170.8,10.3424,341,10.934,0.53509,0.8995,7.635,0.147,-4.2283,3.917,0.8068,0.573065,1.885178,Theia_2267
241,UPK_82,298.463626,26.201951,63.134515,-0.7715,525.4,8.6024,142,4.866,0.53068,0.8847,7.892,0.177,2.2782,-2.1691,1.8219,1.233827,1.233827,"FoF_2417,LP_2417,UPK_82"
242,NGC_2232,96.977545,-4.771701,214.519122,-7.401,316.2,7.4997,286,2.914,0.52805,0.876,7.123,0.135,-4.7168,-1.7699,3.1196,0.299784,3.172622,"Collinder_93,Escorial_8,MWSC_871,NGC_2232,OCL_545"
243,OCSN_61,84.083651,-0.402166,204.489898,-16.84,372.5,7.8555,147,3.429,0.52739,0.8738,7.069,0.19,-1.0447,-0.6303,2.5903,0.768338,1.510337,"Collinder_70,OCSN_61"
244,OC_0589,196.224849,-61.707047,304.526639,1.123,1826.2,11.3078,126,16.783,0.52653,0.871,7.324,2.034,-4.9466,-1.5726,0.5197,1.086500,1.086500,"CWNU_467,OC_0589"
245,HSC_2097,119.266412,-46.951872,261.361468,-9.301,1512.6,10.8986,121,13.814,0.52323,0.8601,7.936,0.404,-3.7421,4.9316,0.631,0.909078,0.909078,HSC_2097
246,Theia_420,318.86344,43.781656,87.114802,-3.567,862.4,9.6785,151,7.854,0.52178,0.8553,7.63,0.939,-2.9941,-3.8836,1.102,0.912301,1.378836,Theia_420
247,Stock_12,353.870064,52.623489,111.409868,-8.541,417.1,8.1013,273,3.797,0.52162,0.8548,8.095,0.212,8.5707,-1.9174,2.2874,0.231861,3.841637,"MWSC_3743,OCL_258,Stock_12,Theia_451"
248,IC_4665,266.532445,5.634743,30.522701,17.08,336.3,7.6337,308,3.059,0.52121,0.8535,7.515,0.559,-0.8809,-8.5324,2.8669,0.337689,2.663572,"Collinder_349,IC_4665,MWSC_2689,Melotte_179,OCL_85,Theia_76"
249,ASCC_58,153.705592,-55.020312,281.70493,1.263,466.5,8.3444,236,4.237,0.52037,0.8507,7.756,0.128,-13.302,2.7601,2.0963,0.534868,1.834771,"ASCC_58,MWSC_1782,Theia_453"
250,Stock_23,49.183968,60.071444,140.134211,2.145,580.9,8.8205,106,5.24,0.51686,0.8393,7.856,0.691,-4.3239,-0.9933,1.6273,0.690001,1.509249,"OC_0260,Stock_23"
251,LP_2383,95.380103,-16.096699,224.195891,-13.75,363.9,7.8047,422,3.217,0.50658,0.8062,7.578,0.152,-5.3698,5.0486,2.6921,0.369265,2.396634,"FoF_2383,LP_2383"
252,Alessi_21,107.591812,-9.318304,223.373273,-0.07887,548.4,8.6955,279,4.804,0.50187,0.7913,7.9,0.154,-5.5007,2.6534,1.7444,0.322562,2.576755,Alessi_21
253,FSR_1197,103.59061,-13.747576,225.5346,-5.585,810.3,9.5433,140,7.091,0.50141,0.7898,8.164,0.141,-3.0461,-0.7091,1.1508,0.648507,1.506169,"FSR_1197,MWSC_1015"
254,COIN-Gaia_8,39.164956,50.010076,139.710535,-9.402,691.3,9.1982,193,5.995,0.49691,0.7757,8.246,0.388,2.3655,-2.527,1.3789,0.495222,1.745706,"COIN-Gaia_8,Theia_346"
255,UPK_56,289.34702,17.649286,51.54756,2.432,738.7,9.3425,113,6.394,0.49591,0.7726,7.799,1.692,-0.1251,-6.7315,1.2655,0.946363,0.946363,"Theia_268,UPK_56"
256,Theia_5431,128.430534,-34.572265,254.859311,3.3,1643.2,11.0784,126,14.218,0.49574,0.7721,8.451,0.477,-4.5482,3.2815,0.5689,0.374635,2.306294,"Theia_4103,Theia_5431,Theia_5465,Theia_5548,Theia_7354,Theia_8137"
257,Stephenson_1,283.578345,36.880664,66.893228,15.35,350.8,7.7255,322,3.022,0.49349,0.7651,7.425,0.174,1.1209,-3.0178,2.7979,0.581355,1.590208,"MWSC_3018,OCL_137,Stephenson_1,delta_Lyr"
258,ASCC_105,295.471602,27.386094,62.808335,2.132,535.3,8.643,173,4.604,0.4928,0.7629,7.97,0.296,1.3698,-1.618,1.7759,0.291151,2.690755,"ASCC_105,MWSC_3157,Theia_165,Theia_544"
259,Teutsch_179,276.624401,26.408094,54.474163,16.82,336.8,7.637,112,2.867,0.48762,0.747,7.489,0.206,0.5374,-5.3401,2.897,0.512213,1.683515,"LISC-III_3755,Teutsch_179,UBC_9"
260,NGC_6633,276.805479,6.5592,36.054116,8.357,371.0,7.8471,515,3.143,0.48537,0.7401,8.674,0.387,1.2041,-1.8037,2.5404,0.420307,1.819855,"Collinder_380,MWSC_2917,Melotte_201,NGC_6633,OCL_90,Theia_924"
261,Theia_4165,328.585919,46.965351,94.319731,-5.83,1430.8,10.7779,126,12.11,0.48492,0.7387,8.783,0.449,1.2446,-2.3683,0.6696,0.696066,1.420060,"HXHWL_1,Theia_4165"
262,Theia_1740,49.312237,60.525986,139.947811,2.565,1002.2,10.0047,139,8.464,0.48389,0.7356,7.54,1.863,0.3116,0.6192,0.9371,0.997805,1.202434,"CWNU_1130,Theia_1740"
